section,claim_or_metric,source_file,source_field_or_cell,generation_module,verification_status
Front matter,Project name and version,configs/project.yml,"project_name; project_version",configuration,direct
Front matter,Source commit resolved at build time,.git,HEAD,git,direct
Front matter,Analytical period 2017-2024,configs/project.yml,"analysis_start_year; analysis_end_year",configuration,direct
Front matter,Live dashboard URL,references/project_brief/stakeholder_project_brief_v2.md,live-link,documented deployment,direct
1 Technical executive overview,25 844 official observations,data/processed/corridor_product_year_panel.parquet,row count,src/03_build_panel.py,recomputed
1 Technical executive overview,23 656 score-eligible observations,data/processed/corridor_product_year_panel.parquet,model_eligible sum,src/tbml_common.py,recomputed
1 Technical executive overview,99.9234% of scoped value represented by eligible rows,data/processed/corridor_product_year_panel.parquet,trade_value_usd weighted coverage,src/tbml_common.py,recomputed
2 Scope,One row is one corridor-product-year,data/processed/corridor_product_year_panel.parquet,canonical grain,src/tbml_common.py,direct
2 Scope,Human-review conclusion boundary,configs/project.yml,conclusion_boundary,configuration,direct
3 Architecture,Pipeline stages src/00 through src/09,src/,module docstrings,pipeline,direct
3 Architecture,Dashboard is read-only,dashboard/streamlit_app.py,module contract,dashboard,direct
3 Architecture,Dashboard does not retrain models,dashboard/README.md,What it is and is not,dashboard,direct
4 Data architecture,Panel grain and 25 844 rows,data/processed/corridor_product_year_panel.parquet,schema and row count,src/03_build_panel.py,recomputed
4 Data architecture,Feature table has 25 844 rows and 44 fields,data/processed/corridor_features.parquet,schema,src/04_build_features.py,recomputed
4 Data architecture,Scenario label separation,data/processed/scenario_split_manifest.json,label_separation,src/05_build_scenarios.py,direct
4 Data architecture,Evidence table has 200 rows for 50 observations,data/outputs/evidence_table.csv,row and obs_id counts,src/07_build_evidence.py,recomputed
5 Sources,BACI release 202601,data/outputs/source_manifest.json,baci_source_confirmed,src/01_verify_sources.py,direct
5 Sources,World Bank benchmark has 24 rows,data/outputs/source_manifest.json,world_bank_source_check.rows_extracted,src/01_verify_sources.py,direct
5 Sources,Three HS6 families,configs/hs_families.yml,hs6 values,configuration,direct
6 Profiling,Family row counts,data/processed/corridor_product_year_panel.parquet,family_id counts,profiling,recomputed
6 Profiling,Gold represents 81.0115% of value,data/processed/corridor_product_year_panel.parquet,trade_value_usd by family,profiling,recomputed
